chain_id,entity_id,entity_type,entity_description
A,1,polymer,'DNA-directed RNA polymerase II subunit RPB1'
AA,26,non-polymer,'ZINC ION'
B,2,polymer,'DNA-directed RNA polymerase subunit beta'
BA,27,non-polymer,'MAGNESIUM ION'
C,3,polymer,'DNA-directed RNA polymerase II subunit RPB3'
CA,26,non-polymer,'ZINC ION'
D,4,polymer,'DNA-directed RNA polymerase II subunit D'
DA,26,non-polymer,'ZINC ION'
E,5,polymer,'DNA-directed RNA polymerase II subunit E'
EA,26,non-polymer,'ZINC ION'
F,6,polymer,'DNA-directed RNA polymerase II subunit F'
FA,26,non-polymer,'ZINC ION'
G,7,polymer,'DNA-directed RNA polymerase II subunit RPB7'
GA,26,non-polymer,'ZINC ION'
H,8,polymer,"'DNA-directed RNA polymerases I, II, and III subunit RPABC3'"
HA,26,non-polymer,'ZINC ION'
I,9,polymer,'DNA-directed RNA polymerase II subunit RPB9'
J,10,polymer,"'DNA-directed RNA polymerases I, II, and III subunit RPABC5'"
K,11,polymer,'DNA-directed RNA polymerase II subunit RPB11-a'
L,12,polymer,RPB12
M,13,polymer,'Non-template DNA'
N,14,polymer,'145-nt RNA'
O,15,polymer,'Template DNA'
P,16,polymer,'U1 snRNA'
Q,17,polymer,'U1 small nuclear ribonucleoprotein 70 kDa'
R,18,polymer,'U1 small nuclear ribonucleoprotein A'
S,19,polymer,'Small nuclear ribonucleoprotein Sm D2'
T,20,polymer,'Small nuclear ribonucleoprotein F'
U,21,polymer,'Small nuclear ribonucleoprotein E'
V,22,polymer,'Small nuclear ribonucleoprotein G'
W,23,polymer,'Small nuclear ribonucleoprotein Sm D3'
X,24,polymer,'Small nuclear ribonucleoprotein-associated protein'
Y,25,polymer,'Small nuclear ribonucleoprotein Sm D1'
Z,26,non-polymer,'ZINC ION'
